Id,Label,group
1,f1,0
2,f2,0
3,f3,0
4,f4,0
5,f6,10
6,f7,4
7,f9,4
8,f11,4
9,f18,4
10,f33,0
11,f35,4
12,f36,0
13,f37,0
14,f41,7
15,f42,0
16,f43,7
17,f44,0
18,f45,0
19,f46,5
20,f47,5
21,f48,10
22,f49,4
23,f51,4
24,f52,4
25,f53,4
26,f56,0
27,f58,5
28,f59,5
29,f61,10
30,f62,1
31,f63,5
32,f65a,0
33,f65b,10
34,f67,0
35,f68,0
36,f70,0
37,f71,1
38,f72,1
39,f73,10
40,f74,0
41,f75,0
42,f76,0
43,f77,0
44,f78,0
45,f79,0
46,f81,0
47,f82,10
48,f83,10
49,f84,10
50,f85,10
51,f86,10
52,f87,10
53,f88,10
54,f90,1
55,f91,10
56,f92,10
57,f93,0
58,f97,10
59,f98,7
60,f99,7
